Symbol	Description
PWF.PR.F.TO	Power Financial Corp Pref Ser E
PWF.PR.G.TO	Power Financial Corp 5.90% Pr Series F
PWF.PR.H.TO	Power Financial Corp 5.75% Pr Series H
PWF.PR.I.TO	Power Financial Corp 6% Series I
PWF.PR.K.TO	Power Fin Corp 4.95% Ser K
PWF.PR.L.TO	Power Financial Corp Series L Pfd
PWF.PR.O.TO	Power Financial Corp 5.80 Pref Ser O
PWF.PR.P.TO	Pwr Fnl Corp 4.40 Non Cumul Pref Ser P
PWF.PR.Q.TO	Power Fin Corp 4.40 Pct Pref Ser Q
PWF.PR.R.TO	Power Financial Corp 5.5 Pct Pref Ser R
PWF.PR.S.TO	Power Financial Corp Pref Ser S
PWF.PR.T.TO	Power Financial Corp 4.20 Pct Pref Ser T
PWF.PR.Z.TO	Power Financial Corp 5.15 Pct Pref Ser V
PWI.TO	Sustainable Power Infra Split Corp Cl A
PWI.PR.A.TO	Sustainable Power Infra Split Corp Pr A
PXC.TO	Invesco FTSE RAFI CAD Idx ETF
PXG.TO	Invesco FTSE RAFI Global Plus ETF
PXS.TO	Pwrshr FTSE RAFI US Fdamntl ETF II
PXS.U.TO	Invesco FTSE RAFI US Idx ETF II USD
PXT.TO	Parex Resources Inc
PXU.F.TO	Invesco FTSE RAFI US Idx ETF
PYF.TO	Purpose Premium Yield Fund ETF
PYF.B.TO	Purpose Premium Yield Fund Non Hdg ETF
PYR.TO	Pyrogenesis Canada Inc
PZA.TO	Pizza Pizza Royalty Corp
PZC.TO	Pwrshr FTSE RAFI CDN Sml Mid Fdamntl ETF
PZW.TO	Pwrshr FTSE RAFI Glb Sml Mid Fdamntl ETF
PZW.F.TO	Invesco FTSE RAFI Glb Small Mid Hedge
PZW.U.TO	Invesco FTSE RAFI Glb Small Mid USD
QAH.TO	Mackenzie US Large Cap Eqty Idx CAD Hgd
QBB.TO	Mackenzie CDN Aggregate Bond Index ETF
QBR.A.TO	Quebecor Inc Cl A Mv
QBR.B.TO	Quebecor Inc Cl B Sv
QBTC.TO	The Bitcoin Fund CAD
QBTC.U.TO	The Bitcoin Fund
QBTL.TO	Agfiq US Mkt Neut Antibeta CAD Hdg ETF
QCD.TO	Quantshrs Enh Core CDN Equity ETF
QCE.TO	Mackenzie CDN Large Cap Equity Index ETF
QCLN.TO	First Trust Nsdq Cln Edg Green Enrgy ETF
QCN.TO	Mackenzie Canadian Equity Index ETF
QDX.TO	Mackenzie International Equity Index ETF
QDXB.TO	Mackenzie Dev Ex Na Agg Bond Idx Hgd ETF
QEBH.TO	Mackenzie Emerging Mkts Bond Index ETF
QEBL.TO	Mackenzie Emerging Mkts Local Cur Bd ETF
QEC.TO	Questerre Energy Corp
QEM.TO	Quantshrs Enh Core Emg Mkt Eqt ETF
QETH.U.TO	Ether Fund [The]
QETH.UN.TO	The Ether Fund
QHY.TO	Mackenzie US High Yld Bnd Idx CAD Hgd
QIE.TO	Quantshrs Enh Core Intl Equity ETF
QINF.TO	Mackenzie Global Infrastructure Indx ETF
QMA.TO	Quantshrs Multiasset Allocation ETF
QMY.TO	Quantshrs Multiasset Inc Allocation ETF
QQC.TO	Invesco Nasdaq 100 Index ETF
QQC.F.TO	Invesco QQQ Index ETF
QQEQ.F.TO	Invesco Nasdaq 100 Eql Weight Idx HD ETF
QQJR.TO	Invesco Nasdaq Next Gen 100 Index ETF
QQJR.F.TO	Invesco Nasdaq Next Gen 100 Index HD ETF
QSB.TO	Mackenzie CDN Short Term Bond Index ETF
QSP.UN.TO	Restaurant Brands Intl Ltd Partnership
QSR.TO	Restaurant Brands International Inc
QTRH.TO	Quarterhill Inc
QUB.TO	Mackenzie US Aggregate Bond Indx Hgd ETF
QUIG.TO	Mackenzie US Inv Grd Corp Bd Idx CAD Hgd
QUS.TO	Quantshrs Enh Core US Equity ETF
QUU.TO	Mackenzie US Large Cap Equity Index ETF
QUU.U.TO	Mackenzie US Large Cap Eqty Indx USD ETF
QXM.TO	CI First Asset Morningstar Nb Quebec ETF
RA.UN.TO	Middlefield Global Real Asset Fund
RATE.TO	Arrow Ec Income Advantage Alt Fund ETF
RAV.UN.TO	Ravensource Fund
RAY.A.TO	Stingray Digital Group Inc Sv
RAY.B.TO	Stingray Digital Group Inc Variable Sv
RBA.TO	Ritchie Bros Auctioneers Inc
RBDI.TO	RBC Bluebay Global Income ETF
RBN.UN.TO	Blue Ribbon Income Fund
RBNK.TO	RBC CDN Bank Yield Index ETF
RBO.TO	RBC 1 To 5 Yr Laddered Corp Bond ETF
RBOT.TO	Horizons Robotics Automation Idx ETF
RBOT.U.TO	Horizons Robotics and Automa Idx ETF USD
RBY.TO	Rubellite Energy Inc
RBY.WT.TO	Rubellite Energy Inc Wts
RCD.TO	RBC Quant CDN Dividend Leaders ETF
RCE.TO	RBC Quant Canadian Equity Leaders ETF
RCG.TO	RF Capital Group Inc
RCG.PR.B.TO	RF Capital Group Inc Pref B
RCH.TO	Richelieu Hardware Ltd
RCI.A.TO	Rogers Communications Inc Cl A Mv
RCI.B.TO	Rogers Communications Inc Cl B NV
RCO.UN.TO	Middlefield Can Global REIT Income Fund
RDL.TO	Redline Communications Group Inc
REAL.TO	Real Matters Inc
RECP.TO	Recipe Unlimited Corp
REI.UN.TO	Riocan Real Est Un
REIT.TO	Powershares Sptsx REIT Income Idx ETF
RFP.TO	Resolute Forest Products Inc
RIB.UN.TO	Ridgewood CAD Invest Grade Bond Fund
RID.TO	RBC Quant EAFE Div Leaders ETF
RID.U.TO	RBC Quant EAFE Div Leaders USD ETF
RIDH.TO	RBC Quant EAFE Div Leaders ETF
RIE.TO	RBC Quant EAFE Equity Leaders ETF
RIE.U.TO	RBC Quant EAFE Equity Leaders ETF USD
RIEH.TO	RBC Quant EAFE Equity Leaders CAD Heg ETF
RIFI.TO	Russell Invt Fixed Income Pool ETF
RIIN.TO	Russell Invt Global Infr Pool ETF
RIRA.TO	Russell Invt Real Assets ETF
RIT.TO	CI First Asset Canadian REIT ETF
RLB.TO	RBC 1 To 5 Year Laddered Can Bond ETF
RNW.TO	Transalta Renewables Inc
ROOT.TO	Roots Corp
RPD.TO	RBC Quant European Div Leaders ETF
RPDH.TO	RBC Quant European Div Leaders ETF
RPF.TO	RBC Canadian Pref Share ETF
RPI.UN.TO	Richards Packaging Income Fund
RPSB.TO	RBC Phn Short Term CDN Bond ETF
RQI.TO	RBC Target 2021 Corp Bond Index ETF
RQJ.TO	RBC Target 2022 Corp Bond ETF
RQK.TO	RBC Target 2023 Corp Bond ETF
RQL.TO	RBC Target 2024 Corp Bond Index ETF
RQN.TO	RBC Target 2025 Corp Bond Index ETF
RQO.TO	RBC Target 2026 Corporate Bond Index ETF
RQP.TO	RBC Target 2027 Corporate Bond Index ETF
RS.TO	Real Estate and Ecommerce Split Corp
RS.PR.A.TO	Real Estate & E-Commerce Split Corp
RSI.TO	Rogers Sugar Inc
RSI.DB.E.TO	Rogers Sugar Inc 5Pct Debs
RSI.DB.F.TO	Rogers Sugar Inc 4.75 Pct Debs
RTG.TO	Rtg Mining Inc
RUBH.TO	RBC US Banks Yield CAD Hgd Index ETF
RUBY.TO	RBC US Banks Yield Index ETF CAD
RUBY.U.TO	RBC US Banks Yield Index ETF USD
RUD.TO	RBC Quant US Div Leaders ETF
RUD.U.TO	RBC Quant US Div Leaders USD ETF
RUDH.TO	RBC Quant US Div Leaders ETF
RUE.TO	RBC Quant US Equity Leaders ETF
RUE.U.TO	RBC Quant US Equity Leaders ETF USD
RUEH.TO	RBC Quant US Equity Leaders CAD Heg ETF
RUS.TO	Russel Metals
RUSB.TO	RBC Short Term US Corp Bond ETF
RUSB.U.TO	RBC Short Term US Corp Bond USD
RVX.TO	Resverlogix Corp
RVX.WT.A.TO	Resverlogix Corp WT
RWC.TO	CI First Asset MSCI Canada Low Risk Wtd ETF
RWE.TO	CI First Asset MSCI Europe Lr Wgtd ETF
RWE.B.TO	CI First Asset MSCI Europe Lr Wgtd Unhg ETF
RWU.TO	CI First Asset MSCI USA Lr Wgtd ETF
RWU.B.TO	CI First Asset MSCI USA Lr Wgtd Unhedg ETF
RWW.TO	CI First Asset MSCI World Low Risk Wtd ETF
RWW.B.TO	CI First Asset MSCI Wld Lr Wtd Uh ETF
RWX.TO	CI First Asset MSCI Intl Low Risk Weighted ETF
RWX.B.TO	CI First Asset MSCI Intl Low Risk Wghtd Unhgd Et
RXD.TO	RBC Quant Emrg Mkts Div Leaders ETF
RXD.U.TO	RBC Quant Emrg Mkts Div Leaders ETF USD
RXE.TO	RBC Quant Emrg Mkts Equity Leaders ETF
RXE.U.TO	RBC Quant Emrg Mkts Eqt Leaders ETF USD
RY.TO	Royal Bank of Canada
RY.PR.H.TO	Royal Bank Pref Ser Bb
RY.PR.J.TO	Royal Bank Pref Ser Bd
RY.PR.M.TO	Royal Bank Pref Ser Bf
RY.PR.N.TO	Royal Bank Pref Ser Bh
RY.PR.O.TO	Royal Bank Pref Ser Bi
RY.PR.P.TO	Royal Bank Pref Ser Bj
RY.PR.S.TO	RBC Pref Shares Series Bo
RY.PR.Z.TO	RBC First Pref Sh Series AZ
S.TO	Sherritt Intl Rv
SAM.TO	Starcore International Mines Ltd
SAP.TO	Saputo Inc
SAU.TO	ST Augustine Gold and Copper Ltd
SBB.TO	Sabina Gold and Silver Corp
SBC.TO	Brompton Split Banc Corp Cl A
SBC.PR.A.TO	Brompton Split Banc Corp Pref
SBI.TO	Serabi Gold Plc
SBN.TO	S Split Corp Cl A
SBN.PR.A.TO	S Split Corp Pref A
SBR.TO	Silver Bear Resources Plc
SBT.TO	Purpose Silver Bullion ETF
SBT.B.TO	Silver Bullion Trust CAD ETF Non Cur
SBT.U.TO	Silver Bullion Trust USD ETF Non Cur
SCL.TO	Shawcor Ltd
SCR.TO	Score Media and Gaming Inc
SCY.TO	Scandium International Mining Corp
SDE.TO	Spartan Delta Corp
SEA.TO	Seabridge Gold Inc
SEC.TO	Senvest Capital
SES.TO	Secure Energy Services Inc
SFC.TO	Sagicor Financial Company Ltd
SFC.WT.TO	Sagicor Financial Company Ltd WT
SFD.TO	Nxt Energy Solutions Inc
SFI.TO	Solution Financial Inc
SFTC.TO	Softchoice Corp
SGLD.TO	Sabre Gold Mines Corp
SGQ.TO	Southgobi Resources Ltd
SGR.U.TO	Slate Grocery REIT USD
SGR.UN.TO	Slate Grocery REIT
SGY.TO	Surge Energy Inc
SGY.DB.TO	Surge Energy Inc 5.75 Pct Debs
SGY.DB.A.TO	Surge Energy Inc 6.75 Pct Debs
SHLE.TO	Source Energy Services Ltd
SHOP.TO	Shopify Inc
SIA.TO	Sienna Senior Living Inc
SID.TO	CI First Asset US Trendleaders ETF
SIH.UN.TO	Sustainable Innovation & Health Dividend
SII.TO	Sprott Inc
SIL.TO	Silvercrest Metals Inc
SIS.TO	Savaria Corp
SIXT.TO	Evolve SP TSX 60 Cleanbeta Fund Uh ETF
SJ.TO	Stella Jones Inc
SJR.B.TO	Shaw Communications Inc Cl B NV
SKE.TO	Skeena Resources Ltd
SKYY.TO	First Trust Cloud Computing ETF
SLF.TO	Sun Life Financial Inc
SLF.PR.A.TO	Sun Life Pref Ser 1
SLF.PR.B.TO	Sun Life Pref Ser 2
SLF.PR.C.TO	Sun Life Pref Ser 3
SLF.PR.D.TO	Sun Life Pref Ser 4
SLF.PR.E.TO	Sun Life Pref Ser 5
SLF.PR.G.TO	Sun Life Pref Ser 8R
SLF.PR.H.TO	Sun Life Pref Ser H
SLF.PR.I.TO	Sun Life Pref Ser 12R
SLF.PR.J.TO	Sun Life Pref Ser 9Qr
SLF.PR.K.TO	Sun Life Pref Ser 11Qr
SLR.TO	Solitario Zinc Corp
SLS.TO	Solaris Resources Inc
SMA.TO	Standard Mercantile Acq Corp
SMC.TO	Sulliden Mining Capital Inc
SMT.TO	Sierra Metals Inc
SMU.UN.TO	Summit Industrial Income REIT
SNC.TO	Snc-Lavalin Sv
SOLG.TO	Solgold Plc
SOT.DB.TO	Slate Office REIT 5.25 Pct Debs
SOT.UN.TO	Slate Office REIT
SOY.TO	Sunopta Inc
SPB.TO	Superior Plus Corp
SPG.TO	Spark Power Group Inc
SPG.WT.TO	Spark Power Group Inc WT
SPPP.TO	Sprott Physical Platinum Palladium CAD
SPPP.U.TO	Sprott Physical Platinum Palladium USD
SRU.UN.TO	Smartcentres Real Estate Investment Trust
SRV.UN.TO	Sir Royalty Income Fund
SRX.TO	Storm Resources Ltd
SSF.UN.TO	Symphony Floating Rate Sr Loan Fd
SSL.TO	Sandstorm Gold Ltd
SSRM.TO	Ssr Mining Inc
STCK.TO	Stack Capital Group Inc
STCK.WT.TO	Stack Capital Group Inc WT
STEP.TO	Step Energy Services Ltd
STGO.TO	Steppe Gold Ltd
STLC.TO	Stelco Holdings Inc
STN.TO	Stantec Inc
STPL.TO	BMO Glb Consumer Staples Hgd To CAD ETF
SU.TO	Suncor Energy Inc
SVB.TO	Silver Bull Resources Inc
SVM.TO	Silvercorp Metals Inc
SVR.TO	Ishares Silver Bullion ETF Hdg
SVR.C.TO	Ishares Silver Bullion ETF Non Hdg
SW.TO	Sierra Wireless
SWP.TO	Swiss Water Decaffeinated Coffee Inc
SXI.TO	Synex Intl J
SXP.TO	Supremex Inc
SYLD.TO	Purpose Strategic Yield Fund
SYZ.TO	Sylogist Ltd
SZLS.TO	Stagezero Life Sciences Ltd
SZLS.WS.TO	Stagezero Life Sciences Ltd WT
SZLS.WT.TO	Stagezero Life Sciences Ltd WT
T.TO	Telus Corp
TA.TO	Transalta Corp
TA.PR.D.TO	Transalta Corp Prfd Series A
TA.PR.E.TO	Transalta Corp Pref Ser B
TA.PR.F.TO	Transalta Corp Pref Ser C
TA.PR.H.TO	Transalta Corp Pref Sh Series E
TA.PR.J.TO	Transalta Corp Pref Ser G
TAIG.TO	Taiga Motors Corp
TAIG.WT.TO	Taiga Motors Corp WT
TBL.TO	Taiga Building Products Ltd
TBP.TO	Tetra Bio Pharma Inc
TBP.WT.A.TO	Tetra Bio Pharma Inc WT A
TBP.WT.B.TO	Tetra Bio Pharma Inc WT B
TBP.WT.C.TO	Tetra Bio-Pharma Inc
TC.TO	Tucows Inc
TCL.A.TO	Transcontinental Inc Cl A Sv
TCL.B.TO	Transcontinental Inc Cl B Mv
TCLB.TO	TD Canadian Long Term Fed Bond ETF
TCLV.TO	TD Q Canadian Low Volatility ETF
TCN.TO	Tricon Capital Group Inc
TCS.TO	Tecsys Inc J
TCSB.TO	TD Select Short Term Corporate Bond Ladd
TCW.TO	Trican Well
TD.TO	Toronto-Dominion Bank
TD.PF.A.TO	TD Bank Pref Ser 1
TD.PF.B.TO	TD Bank Pref Ser 3
TD.PF.C.TO	TD Bank Pref Ser 5
TD.PF.D.TO	TD Bank Pref Ser 7
TD.PF.E.TO	TD Bank Pref Ser 9
TD.PF.H.TO	TD Bank Pref Ser 14
TD.PF.I.TO	TD Bank Pref Ser 16
TD.PF.J.TO	TD Bank Pref Series 18
TD.PF.K.TO	TD Bank Pref Series 20
TD.PF.L.TO	TD Bank Pref Series 22
TD.PF.M.TO	TD Bank Pref Series 24
TDB.TO	TD CDN Aggregate Bond Index ETF
TDOC.TO	TD Global Healthcare Leaders Index ETF
TEC.TO	TD Global Technology Leaders Index ETF
TECH.TO	Evolve Fangma Index ETF [Cad Hedged Unit
TECH.B.TO	Evolve Fangma Index ETF [Cad Unhedged Un
TECH.U.TO	Evolve Fangma Index Uh ETF USD
TECK.A.TO	Teck Resources Ltd Cl A
TECK.B.TO	Teck Resources Ltd Cl B
TERM.TO	Manulife Smart Short-Term Bond ETF
TF.TO	Timbercreek Financial Corp
TF.DB.C.TO	Timbercreek Financial Corp 5.30 Pct Debs
TF.DB.D.TO	Timbercreek Financial Corp 5.25 Pct Debs
TFII.TO	Tfi International Inc
TFPM.TO	Triple Flag Precious Metals Corp
TFPM.U.TO	Triple Flag Precious Metals Corp
TGED.TO	TD Active Global Enhanced Dividend ETF
TGFI.TO	TD Active Global Income ETF
TGGR.TO	TD Active Global Equity Growth ETF
TGL.TO	Transglobe Energy Corp
TGO.TO	Terago Inc
TGRE.TO	TD Active Global Real Estate Equity ETF
TH.TO	Theratechnologies
TH.DB.U.TO	Theratechnologies 5.75 Pct Debs
The.TO	TD Intl Equity CAD Hedge Index ETF
THNC.TO	Thinkific Labs Inc
THU.TO	TD S&P 500 CAD Hedge Index ETF
TI.TO	Titan Mining Corp
TIH.TO	Toromont Ind
TILV.TO	TD Systematic Intl Equity Low Vol ETF
TINF.TO	TD Active Global Infrastructure Eqty ETF
TIXT.TO	Telus International [Cda] Inc
TKO.TO	Taseko Mines Ltd
TLF.TO	Brompton Tech Leaders Income ETF
TLG.TO	Troilus Gold Corp
TLG.WT.TO	Troilus Gold Corp WT
TLO.TO	Talon Metals Corp
TLRY.TO	Tilray Inc
TLV.TO	Invesco SP TSX Low Vol Idx ETF
TMD.TO	Titan Medical Inc
TMEC.TO	TD Morningstar ESG Cda Eqty Idx ETF
TMEI.TO	TD Morningstar ESG Intl Eqty Idx ETF
TMEU.TO	TD Morningstar ESG US Equity Index ETF
TML.TO	Treasury Metals Inc
TML.WT.TO	Treasury Metals Inc WT
TMQ.TO	Trilogy Metals Inc
TNT.UN.TO	True North Commercial REIT
TNX.TO	Tanzanian Royalty Exploration Corp
TOCA.TO	TD One Click Aggressive Portfolio ETF
TOCC.TO	TD One Click Conservative ETF Portfolio
TOCM.TO	TD One Click Moderate ETF Portfolio
TOT.TO	Total Energy Services Inc
TOU.TO	Tourmaline Oil Corp
TOY.TO	Spin Master Corp
TPAY.TO	TD Income Builder ETF
TPE.TO	TD International Equity Index ETF
TPRF.TO	TD Active Preferred Share ETF
TPU.TO	TD S&P 500 Index ETF
TPX.A.TO	Molson Coors Canada Inc Cl A Lv
TPX.B.TO	Molson Coors Canada Inc Cl B NV
TPZ.TO	Topaz Energy Corp
TQCD.TO	TD Q Canadian Dividend ETF
TQGD.TO	TD Q Global Dividend ETF
TQGM.TO	TD Q Global Multifactor ETF
TQSM.TO	TD Q US Small Mid Cap Eqty ETF
TRI.TO	Thomson Reuters Corp
TRI.PR.B.TO	Thomson Reuters Corp Prf Srs 2
TRIL.TO	Trillium Therapeutics Inc
TRL.TO	Trilogy International Partners Inc
TRL.WT.TO	Trilogy International Partners Inc WT
TRP.TO	Tc Energy Corp
TRP.PR.A.TO	Transcanada Corp Pref Ser 1
TRP.PR.B.TO	Transcanada Corp Pref Ser 3
TRP.PR.C.TO	Transcanada Corp Pref Ser 5
TRP.PR.D.TO	Transcanada Corp Pref Ser 7
TRP.PR.E.TO	Transcanada Corp Pref Ser 9
TRP.PR.F.TO	Transcanada Corp Pref Ser 2
TRP.PR.G.TO	Transcanada Corp Pref Ser 11
TRP.PR.H.TO	Transcanada Corp Pref Ser 4
TRP.PR.I.TO	Transcanada Corp Pref Ser 6
TRP.PR.K.TO	Transcanada Corp Pref Ser 15
TRQ.TO	Turquoise Hill Resources Ltd
TRVL.TO	Harvest Travel and Leisure Index ETF
TRVL.U.TO	Harvest Travel and Leisure ETF USD
TRZ.TO	Transat At Inc
TSK.TO	Talisker Resources Ltd
TSL.TO	Tree Island Steel Ltd
TSU.TO	Trisura Group Ltd
TTP.TO	TD S&P TSX Capped Comp Index ETF
TUED.TO	TD Active US Enhanced Dividend ETF
TUHY.TO	TD Active US High Yield Bond ETF
TULB.TO	TD US Long Term Treasury Bond ETF
TULV.TO	TD Q US Low Volatility ETF
TUSB.TO	TD Select U.S. Short Term Corporate Bond
TUSB.U.TO	TD Select US Short Term Corp Bnd ETF USD
TV.TO	Trevali Mining Corp
TV.WT.TO	Trevali Mining Corp WT
TVA.B.TO	Tva Group Inc Cl B NV
TVE.TO	Tamarack Valley Energy Ltd
TVK.TO	Terravest Capital Inc
TWC.TO	Twc Enterprises Ltd
TWM.TO	Tidewater Midstream and Infras Ltd
TWM.DB.TO	Tidewater Midstream Infras 5.5 Pct Debs
TXF.TO	CI First Asset Tech Giants Covered Call ETF
TXF.B.TO	CI First Asset Tech Giants Cov Call Unheg
TXG.TO	Torex Gold Resources Inc
TXP.TO	Touchstone Exploration Inc
TXT.PR.A.TO	Top 10 Split Trust Pref A
TXT.UN.TO	Top 10 Split Trust
U.U.TO	Sprott Physical Uranium Trust USD
U.UN.TO	Sprott Physical Uranium Trust
UDA.TO	Caldwell US Dividend Advantage Fund ETF
UDIV.TO	Manulife Smart U.S. Dividend ETF [Hedged
UDIV.B.TO	Manulife Smart U.S. Dividend ETF Unhedged Units
UEX.TO	Uex Corp
UFS.TO	Domtar Corp
ULV.C.TO	Powershares Sp500 Low Volatility ETF
ULV.F.TO	Invesco S&P 500 Low Volatility ETF
ULV.U.TO	Invesco S&P 500 Low Volatility ETF USD
UMI.TO	CI Wisdomtree US Midcap Div Idx ETF
UMI.B.TO	Wisdomtree US Midcap Div Idx Unheg ETF
UNC.TO	United Corp Ltd
UNI.TO	Unisync Corp Class B
UNS.TO	Uni Select Inc
URB.TO	Urbana Corp
URB.A.TO	Urbana Corp A NV
URE.TO	Ur-Energy Inc
USA.TO	Americas Silver Corp
USB.TO	Powershares Lad US 0 To 5 Yr Corp Bd ETF
USB.U.TO	Powershares Lad US 0 To 5 Yr Corp Bd ETF USD
VA.TO	Vanguard FTSE Dev Asia Pac All Cap ETF
VAB.TO	Vanguard CDN Aggregate Bond Index ETF
VALT.TO	CI Gold Bullion Fund ETF Hg CAD
VALT.B.TO	CI Gold Bullion Fund ETF
VALT.U.TO	CI Gold Bullion Fund ETF USD
VB.TO	Versabank
VB.PR.A.TO	Versabank Pref Ser 1
VBAL.TO	Vanguard Balanced ETF Portfolio
VBG.TO	Vanguard Global Ex US Agg Bnd ETF
VBU.TO	Vanguard US Agg Bond Index ETF CAD
VCB.TO	Vanguard CDN Corporate Bond Index ETF
VCE.TO	Vanguard FTSE Canada Index ETF
VCIP.TO	Vanguard Conservative Income ETF
VCM.TO	Vecima Networks Inc
VCN.TO	Vanguard FTSE Canada All Cap ETF
VCNS.TO	Vanguard Conservative ETF Portfolio
VDU.TO	Vanguard FTSE Developed AC Ex US ETF
VDY.TO	Vanguard FTSE CDN High Div Yld Index ETF
VE.TO	Vanguard FTSE Dev Europe All Cap ETF
VEE.TO	Vanguard FTSE Emerging Mkts All Cap ETF
VEF.TO	Vanguard FTSE Dev AC Ex US ETF CAD Hdg
VEQT.TO	Vanguard All Equity ETF Portfolio
VET.TO	Vermilion Energy Inc
VFF.TO	Village Farms International Inc
VFV.TO	Vanguard S&P 500 Index ETF
VGAB.TO	Vanguard Global Aggregate Bond Index ETF
VGCX.TO	Victoria Gold Corp
VGG.TO	Vanguard US Div Appr ETF
VGH.TO	Vanguard US Div Appr ETF CAD Hdg
VGRO.TO	Vanguard Growth ETF Portfolio
VGV.TO	Vanguard CDN Government Bond Index ETF
VGZ.TO	Vista Gold Corp
VHI.TO	Vitalhub Corp
VI.TO	Vanguard FTSE Dev All Cap Na ETF
VIDY.TO	Vanguard FTSE Dev Ex Na High Div Yld ETF
VIU.TO	Vanguard FTSE Dev All Cap Na ETF
VIVO.TO	Vivo Cannabis Inc
VIVO.WT.TO	Vivo Cannabis Inc
VLB.TO	Vanguard CDN Long Term Bond Index ETF
VLE.TO	Valeura Energy Inc
VLN.TO	Velan Inc Sv
VLNS.TO	Valens Groworks Corp
VMD.TO	Viemed Healthcare Inc
VMH.U.TO	Vm Hotel Acquisition Corp Cls A USD
VMO.TO	Vanguard Glob Momentum Factor ETF
VNP.TO	5N Plus Inc
VOYG.TO	Voyager Digital Ltd
VQS.TO	Viq Solutions Inc
VRE.TO	Vanguard FTSE CDN Capped REIT Index ETF
VRIF.TO	Vanguard Retirement Income ETF
VSB.TO	Vanguard CDN Short-Term Bond Index ETF
VSC.TO	Vanguard CDN Short Term Corp Bd ETF
VSP.TO	Vanguard S&P 500 Index ETF CAD Hdg
VUN.TO	Vanguard US Total Market ETF
VUS.TO	Vanguard US Total Mkt ETF CAD Hdg
VVL.TO	Vanguard Glob Val Factor ETF
VVO.TO	Vanguard Global Min Vol ETF
VWE.U.TO	Vintage Wine Estates Inc USD
VWE.WT.U.TO	Vintage Wine Estates Inc WT USD
VXC.TO	Vanguard FTSE Global All Cap Ex Can ETF
VXM.TO	CI First Asset Morningstar Intl Value ETF
VXM.B.TO	CI First Asset Morningstar Intl Value ETF Unheg
W.PR.M.TO	Westcoast Energy Inc Pref Ser 12
WBR.TO	Waterloo Brewing Ltd
WCM.A.TO	Wilmington Capital Mgmt Inc Cl A NV
WCM.B.TO	Wilmington Capital Management Cl B
WCN.TO	Waste Connections Inc
WCP.TO	Whitecap Resources Inc
WDO.TO	Wesdome Gold Mines Ltd
WEED.TO	Canopy Growth Corp
WEED.DB.TO	Canopy Growth Corporation 8.00%
WEED.WT.TO	Canopy Growth Corp WT
WEED.WT.A.TO	Canopy Growth Corp February 2021 WT
WEF.TO	Western Forest Products Inc
WELL.TO	Well Health Technologies Corp
WFC.TO	Wall Financial
WFG.TO	West Fraser Timber CO Ltd
WFS.TO	World Financial Split Corp
WFS.PR.A.TO	World Financial Split Corp
WILD.TO	Wildbrain Ltd
WILD.DB.TO	Wildbrain Ltd 5.875 Pct Debs
WIR.U.TO	Wpt Industrial REIT USD
WIR.UN.TO	Wpt Industrial REIT Units
WJX.TO	Wajax Corp
WJX.DB.TO	Wajax Corp 6.00 Pct Debs
WLLW.TO	Willow Biosciencesinc
WM.TO	Wallbridge Mining Company Ltd
WN.TO	Weston George
WN.PR.A.TO	George Weston Pref Ser 1
WN.PR.C.TO	George Weston 5.20% Pref Ser III
WN.PR.D.TO	George Weston 5.2% Pref Ser IV
WN.PR.E.TO	George Weston 4.75% Pref Ser V
WOMN.TO	BMO Women IN Leadership Fund
WPK.TO	Winpak Ltd
WPM.TO	Wheaton Precious Metals Corp
WPRT.TO	Westport Fuel Systems Inc
WRG.TO	Western Energy Services Corp
WRN.TO	Western Copper and Gold Corp
WRX.TO	Western Resources Corp
WSP.TO	WSP Global Inc
WSRD.TO	Wealthsimple Dev Mkt Ex Na Soc Resp ETF
WSRI.TO	Wealthsimple Na Socially Resp Index ETF
WTE.TO	Westshore Terminals Investment Corp
WXM.TO	CI First Asset Morningstar Cda Momentum ETF
X.TO	Tmx Group Ltd
XAGG.TO	Ishares US Aggregate Bond Index ETF
XAGG.U.TO	Ishares US Aggregate Bond Index ETF USD
XAGH.TO	Ishares US Aggregate Bond Idx ETF CAD HD
XAM.TO	Xanadu Mines Ltd
XAU.TO	Goldmoney Inc
XAW.TO	Ishares Core MSCI All Cntry Ex Can ETF
XAW.U.TO	Ishares Core MSCI All Ex Can ETF USD
XBAL.TO	Ishares Core Balanced ETF Portfolio
XBB.TO	Ishares Core CDN Universe Bond ETF
XBC.TO	Xebec Adsorption Inc
XBM.TO	Ishares S&P TSX Global Base Mtls ETF
XCB.TO	Ishares Canadian Corporate Bond ETF
XCBG.TO	Ishares ESG Adv CAD Corp Bond Index ETF
XCBU.TO	Ishares US IG Corporate Bond Index ETF
XCBU.U.TO	Ishares US IG Corporate Bond Idx ETF USD
XCD.TO	Ishares S&P Global Cons Disc ETF
XCG.TO	Ishares Canadian Growth Index ETF
XCH.TO	Ishares China Index ETF
XCLR.TO	Ishares ESG MSCI Canada Leaders Indx ETF
XCNS.TO	Ishares Core Conservative Balanced ETF
XCS.TO	Ishares S&P TSX Smallcap Index ETF
XCSR.TO	Ishares ESG Advanced MSCI Canada Idx ETF
XCT.TO	Exactearth Ltd
XCV.TO	Ishares Canadian Value Index ETF
XDG.TO	Ishares Core MSCI Glo Qlty Div ETF
XDG.U.TO	Ishares Core MSCI Glo Qlty Div ETF USD
XDGH.TO	Ishares Core MSCI Glo Qlty Div ETF
